Year,Sex,Age,Value
2010,,,15.5 
2011,,,15.6 
2012,,,15.1 
2013,,,15.8 
2014,,,15.8 
2015,,,16.6 
2016,,,16.5 
2017,,,16.7 
2018,,,16.8 
2019,,,17.1
2020,,,16.9
2021,,,16.9
2022,,,16.7
2010,Male,,14.8 
2011,Male,,15.0 
2012,Male,,14.4 
2013,Male,,15.4 
2014,Male,,15.7 
2015,Male,,16.3 
2016,Male,,16.5 
2017,Male,,16.1 
2018,Male,,15.6
2019,Male,,16.1
2020,Male,,15.6
2021,Male,,15.8
2022,Male,,15.8
2010,Female,,16.2 
2011,Female,,16.1 
2012,Female,,15.8 
2013,Female,,16.1 
2014,Female,,16.0 
2015,Female,,16.9 
2016,Female,,16.5 
2017,Female,,17.3 
2018,Female,,18.1
2019,Female,,18.1
2020,Female,,18.3
2021,Female,,18
2022,Female,,17.8
2010,,<18Y,22.1 
2011,,<18Y,23.0 
2012,,<18Y,23.1 
2013,,<18Y,24.5 
2014,,<18Y,24.6 
2015,,<18Y,23.4 
2016,,<18Y,20.9 
2017,,<18Y,21.2 
2018,,<18Y,21.4
2019,,<18Y,20.6
2020,,<18Y,20.4
2021,,<18Y,19.6
2022,,<18Y,19.3
2010,,18-64,13.1 
2011,,18-64,13.1 
2012,,18-64,12.4 
2013,,18-64,13.5 
2014,,18-64,13.1 
2015,,18-64,13.4 
2016,,18-64,13.3 
2017,,18-64,13.2 
2018,,18-64,13.3
2019,,18-64,13.2
2020,,18-64,13.5
2021,,18-64,13.1
2022,,18-64,12.3
2010,,65+,18.2 
2011,,65+,17.6 
2012,,65+,17.3 
2013,,65+,14.9 
2014,,65+,17.0 
2015,,65+,21.3 
2016,,65+,23.9 
2017,,65+,24.9 
2018,,65+,25.4 
2019,,65+,27.7
2020,,65+,26.3
2021,,65+,28.1
2022,,65+,30
